20 10 31 20 17 17	129	6	0 	1023	0	1023	37 14	
20 10 31 20 17 21	131	6	0 	1023	0	1023	38 0	
20 10 31 20 17 26	133	6	0 	1023	0	1023	38 0	
20 10 31 20 17 30	135	6	0 	1023	0	1023	38 1	
20 10 31 20 17 35	137	6	0 	1023	0	1023	38 3	
20 10 31 20 17 39	139	6	0 	1023	0	1023	38 4	
20 10 31 20 17 44	141	6	0 	1023	0	1023	38 5	
20 10 31 20 17 48	143	6	0 	1023	0	1023	38 5	
20 10 31 20 17 53	145	6	0 	1023	0	1023	38 7	
20 10 31 20 17 57	147	6	0 	1023	0	1023	38 8	
20 10 31 20 18 2	149	1	1 	1023	0	1023	38 9	
20 10 31 20 18 13	151	1	1 	1023	0	1023	38 10	
20 10 31 20 18 18	153	1	1 	1023	0	1023	38 11	
20 10 31 20 18 22	155	1	1 	1023	0	1023	38 12	
20 10 31 20 18 26	157	1	1 	1023	0	1023	38 13	
20 10 31 20 18 31	159	1	1 	1023	0	1023	38 14	
20 10 31 20 18 35	161	1	1 	1023	0	1023	38 15	
20 10 31 20 18 40	163	1	1 	1023	0	1023	38 15	
20 10 31 20 18 44	165	1	1 	1023	0	1023	39 0	
20 10 31 20 18 49	167	1	1 	1023	0	1023	39 1	
20 10 31 20 18 53	169	1	1 	1023	0	1023	39 2	
20 10 31 20 18 58	171	1	1 	1023	0	1023	39 2	
20 10 31 20 19 2	173	2	1 	1023	0	1023	39 3	
20 10 31 20 19 7	175	2	1 	1023	0	1023	39 3	
20 10 31 20 19 11	177	2	1 	1023	0	1023	39 4	
20 10 31 20 19 16	179	2	1 	1023	0	1023	39 5	
20 10 31 20 19 20	181	2	1 	1023	0	1023	39 5	
20 10 31 20 19 25	183	2	1 	1023	0	1023	39 6	
20 10 31 20 19 29	185	2	1 	1023	0	1023	39 7	
20 10 31 20 19 34	187	2	1 	1023	0	1023	39 7	
20 10 31 20 19 38	189	2	1 	1023	0	1023	39 7	
20 10 31 20 19 43	191	2	1 	1023	0	1023	39 8	
20 10 31 20 19 47	193	2	1 	1023	0	1023	39 8	
20 10 31 20 19 52	195	2	1 	1023	0	1023	39 9	
20 10 31 20 19 56	197	2	1 	1023	0	1023	39 9	
20 10 31 20 20 1	199	3	1 	1023	0	1023	39 10	
20 10 31 20 20 5	201	3	1 	1023	0	1023	39 10	
20 10 31 20 20 10	203	3	1 	1023	0	1023	39 11	
20 10 31 20 20 14	205	3	1 	1023	0	1023	39 11	
20 10 31 20 20 18	207	3	1 	1023	0	1023	39 11	
20 10 31 20 20 23	209	3	1 	1023	0	1023	39 12	
20 10 31 20 20 27	211	3	1 	1023	0	1023	39 12	
20 10 31 20 20 32	213	3	1 	1023	0	1023	39 13	
20 10 31 20 20 36	215	3	1 	1023	0	1023	39 13	
20 10 31 20 20 41	217	3	1 	1023	0	1023	39 13	
20 10 31 20 20 45	219	3	1 	1023	0	1023	39 14	
20 10 31 20 20 50	221	3	1 	1023	0	1023	39 14	
20 10 31 20 20 54	223	3	1 	1023	0	1023	39 14	
20 10 31 20 20 59	225	3	1 	1023	0	1023	39 14	
20 10 31 20 21 3	227	4	1 	1023	0	1023	39 15	
20 10 31 20 21 8	229	4	1 	1023	0	1023	39 15	
20 10 31 20 21 12	231	4	1 	1023	0	1023	39 15	
20 10 31 20 21 17	233	4	1 	1023	0	1023	40 0	
20 10 31 20 21 21	235	4	1 	1023	0	1023	40 0	
20 10 31 20 21 26	237	4	1 	1023	0	1023	40 0	
20 10 31 20 21 30	239	4	1 	1023	0	1023	40 1	
20 10 31 20 21 35	241	4	1 	1023	0	1023	40 1	
20 10 31 20 21 39	243	4	1 	1023	0	1023	40 1	
20 10 31 20 21 44	245	4	1 	1023	0	1023	40 2	
20 10 31 20 21 48	247	4	1 	1023	0	1023	40 2	
20 10 31 20 21 53	249	4	1 	1023	0	1023	40 2	
20 10 31 20 21 57	251	4	1 	1023	0	1023	40 2	
20 10 31 20 22 2	253	5	1 	1023	0	1023	40 2	
20 10 31 20 22 6	255	5	1 	1023	0	1023	40 2	
20 10 31 20 22 10	257	5	1 	1023	0	1023	40 3	
20 10 31 20 22 15	259	5	1 	1023	0	1023	40 3	
20 10 31 20 22 19	261	5	1 	1023	0	1023	40 3	
20 10 31 20 22 24	263	5	1 	1023	0	1023	40 3	
20 10 31 20 22 28	265	5	1 	1023	0	1023	40 3	
20 10 31 20 22 33	267	5	1 	1023	0	1023	40 4	
20 10 31 20 22 37	269	5	1 	1023	0	1023	40 3	
20 10 31 20 22 42	271	5	1 	1023	0	1023	40 4	
20 10 31 20 22 46	273	5	1 	1023	0	1023	40 4	
20 10 31 20 22 51	275	5	1 	1023	0	1023	40 4	
20 10 31 20 22 55	277	5	1 	1023	0	1023	40 4	
20 10 31 20 23 0	279	6	1 	1023	0	1023	40 4	
20 10 31 20 23 4	281	6	1 	1023	0	1023	40 4	
20 10 31 20 23 9	283	6	1 	1023	0	1023	40 5	
